actor_id,movie_id,name,is_main_character,created_at
nm0000006,tt0034583,Ingrid Bergman,true,2025-07-27 05:44:27.453883
nm0000007,tt0034583,Humphrey Bogart,true,2025-07-27 05:44:12.793594
nm0000008,tt0068646,Marlon Brando,true,2025-07-27 05:47:12.823337
nm0000020,tt0050083,Henry Fonda,false,2025-07-27 05:47:25.984329
nm0000027,tt0076759,Alec Guinness,false,2025-07-27 05:46:13.413783
nm0000027,tt0080684,Alec Guinness,false,2025-07-27 05:42:39.605028
nm0000048,tt0034583,Peter Lorre,false,2025-07-27 05:44:29.284632
nm0000071,tt0038650,James Stewart,true,2025-07-27 05:43:22.963629
nm0000093,tt0114369,Brad Pitt,true,2025-07-27 05:43:24.814418
nm0000093,tt0137523,Brad Pitt,true,2025-07-27 05:42:16.944146
nm0000100,tt0110357,Rowan Atkinson,true,2025-07-27 05:45:28.343653
nm0000103,tt0120586,Fairuza Balk,false,2025-07-27 05:44:47.47355
nm0000111,tt0110357,Matthew Broderick,true,2025-07-27 05:45:26.083451
nm0000122,tt0027977,Charles Chaplin,true,2025-07-27 05:42:17.674996
nm0000128,tt0172495,Russell Crowe,true,2025-07-27 05:45:19.425967
nm0000134,tt0071562,Robert De Niro,true,2025-07-27 05:47:19.763401
nm0000134,tt0099685,Robert De Niro,true,2025-07-27 05:43:22.244305
nm0000138,tt0407887,Leonardo DiCaprio,true,2025-07-27 05:45:12.814582
nm0000138,tt1375666,Leonardo DiCaprio,true,2025-07-27 05:42:08.569802
nm0000142,tt0060196,Clint Eastwood,true,2025-07-27 05:46:38.723706
nm0000146,tt0108052,Ralph Fiennes,true,2025-07-27 05:46:59.123978
nm0000148,tt0076759,Harrison Ford,true,2025-07-27 05:46:12.684162
nm0000148,tt0080684,Harrison Ford,true,2025-07-27 05:42:36.654072
nm0000149,tt0102926,Jodie Foster,true,2025-07-27 05:43:23.324324
nm0000150,tt0088763,Michael J. Fox,true,2025-07-27 05:45:47.064958
nm0000151,tt0111161,Morgan Freeman,true,2025-07-27 05:43:09.054121
nm0000151,tt0114369,Morgan Freeman,true,2025-07-27 05:43:21.88455
nm0000151,tt0468569,Morgan Freeman,false,2025-07-27 05:47:34.723644
nm0000155,tt0110357,Whoopi Goldberg,false,2025-07-27 05:45:27.973518
nm0000157,tt0103064,Linda Hamilton,true,2025-07-27 05:46:20.094252
nm0000158,tt0109830,Tom Hanks,true,2025-07-27 05:43:22.604877
nm0000158,tt0120689,Tom Hanks,true,2025-07-27 05:43:01.745175
nm0000158,tt0120815,Tom Hanks,true,2025-07-27 05:42:15.464445
nm0000164,tt0102926,Anthony Hopkins,true,2025-07-27 05:43:49.634216
nm0000168,tt0110912,Samuel L. Jackson,false,2025-07-27 05:46:53.283799
nm0000190,tt0816692,Matthew McConaughey,true,2025-07-27 05:42:16.194929
nm0000197,tt0073486,Jack Nicholson,false,2025-07-27 05:42:15.83359
nm0000197,tt0407887,Jack Nicholson,true,2025-07-27 05:45:13.584607
nm0000198,tt0110413,Gary Oldman,true,2025-07-27 05:44:39.784701
nm0000198,tt0468569,Gary Oldman,false,2025-07-27 05:47:34.363548
nm0000199,tt0068646,Al Pacino,true,2025-07-27 05:47:13.193127
nm0000199,tt0071562,Al Pacino,true,2025-07-27 05:47:19.403524
nm0000204,tt0110413,Natalie Portman,true,2025-07-27 05:44:40.153486
